comparison,model,a,b,metric,n,effect,ci_low,ci_high,wins,ties,losses
Wide - normalized,GPT-5.6 Terra,gpt-5.6-terra::wide,gpt-5.6-terra::normalized,answer_words,1127,0.1725820763087844,-0.06522848269742679,0.4072870452528836,293,593,241
Normalized - no search,Claude Sonnet 5,claude-sonnet-5::normalized,claude-sonnet-5::none,judge,1084,0.5544280442804428,0.5230627306273062,0.5857933579335793,636,428,20
Normalized - no search,Claude Sonnet 5,claude-sonnet-5::normalized,claude-sonnet-5::none,latency_s,1084,7.63862163851182,6.969328780595997,8.289413309781862,1013,0,71
Normalized - no search,Claude Sonnet 5,claude-sonnet-5::normalized,claude-sonnet-5::none,answer_words,1084,18.668819188191883,17.535043819188193,19.791974169741696,914,58,112
Wide - normalized,Claude Sonnet 5,claude-sonnet-5::wide,claude-sonnet-5::normalized,judge,1063,0.03292568203198495,0.012699905926622766,0.05268109125117592,92,919,52
Wide - normalized,Claude Sonnet 5,claude-sonnet-5::wide,claude-sonnet-5::normalized,used_searches,1063,-0.0761994355597366,-0.11900282220131703,-0.032443555973659624,89,831,143
Wide - normalized,Claude Sonnet 5,claude-sonnet-5::wide,claude-sonnet-5::normalized,latency_s,1063,-2.166713774260326,-2.7330043631853744,-1.640022711350687,256,0,807
Wide - normalized,Claude Sonnet 5,claude-sonnet-5::wide,claude-sonnet-5::normalized,answer_words,1063,0.9873000940733773,0.043238476011288815,1.9172271872060205,506,123,434
Native - normalized,GPT-5.6 Terra,gpt-5.6-terra::native,gpt-5.6-terra::normalized,judge,1128,-0.03546099290780142,-0.05585106382978723,-0.014184397163120567,64,956,108
Native - normalized,GPT-5.6 Terra,gpt-5.6-terra::native,gpt-5.6-terra::normalized,used_searches,1128,-0.37101063829787234,-0.44148936170212766,-0.30319148936170215,187,471,470
Native - normalized,GPT-5.6 Terra,gpt-5.6-terra::native,gpt-5.6-terra::normalized,latency_s,1128,4.029213546227056,3.5546910690923106,4.516234619635428,860,0,268
Native - normalized,GPT-5.6 Terra,gpt-5.6-terra::native,gpt-5.6-terra::normalized,answer_words,1128,3.606382978723404,3.260139627659574,3.948581560283688,677,333,118
Native - normalized,Claude Sonnet 5,claude-sonnet-5::native,claude-sonnet-5::normalized,judge,1079,-0.006487488415199258,-0.028730305838739572,0.016682113067655237,84,904,91
Native - normalized,Claude Sonnet 5,claude-sonnet-5::native,claude-sonnet-5::normalized,used_searches,1079,0.1056533827618165,0.04819277108433735,0.16172381835032437,220,664,195
Native - normalized,Claude Sonnet 5,claude-sonnet-5::native,claude-sonnet-5::normalized,latency_s,1079,1.405831432320433,0.8204469326527942,1.978712034965688,596,0,483
Native - normalized,Claude Sonnet 5,claude-sonnet-5::native,claude-sonnet-5::normalized,answer_words,1079,58.554680259499534,56.356753938832256,60.744242354031506,1038,17,24
